Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
2022,"2,550",89,"2,461","2,264","1,191",855,0,199,4,15,197,3708,3306,402,2475,420,51,84,9,146,115,349,187,267,26,147,118,391,229,156,64,33,82,21,89%,11%,3%,97%,89%,47%,34%,0%,8%,0%,1%,8%,17%,2%,3%,0%,6%,5%,14%,7%,10%,1%,6%,5%,15%,9%,6%,3%,1%,3%,1%
2023,"4,127",158,"3,969","3,767","3,162",190,6,385,0,24,202,6408,6084,324,3673,188,254,207,55,119,194,680,339,218,173,171,131,218,382,236,114,109,69,71,95%,5%,4%,96%,91%,77%,5%,0%,9%,0%,1%,5%,5%,6%,5%,1%,3%,5%,16%,8%,5%,4%,4%,3%,5%,9%,6%,3%,3%,2%,2%
2413,"3,395",122,"3,273","3,107","2,585",424,3,87,0,8,166,6675,5394,1281,3599,395,188,126,90,73,134,321,564,394,255,237,216,170,309,245,110,52,23,92,81%,19%,4%,96%,92%,76%,12%,0%,3%,0%,0%,5%,11%,6%,4%,3%,2%,4%,9%,17%,12%,8%,7%,6%,5%,9%,7%,3%,2%,1%,3%
2509,"1,140",26,"1,114","1,050",456,578,2,6,0,8,64,2013,1677,336,1155,302,51,55,29,152,70,88,187,132,75,59,18,76,65,11,36,27,0,24,83%,17%,2%,98%,92%,40%,51%,0%,1%,0%,1%,6%,26%,4%,5%,3%,13%,6%,8%,16%,12%,7%,5%,2%,7%,6%,1%,3%,2%,0%,2%
2602,"2,092",65,"2,027","1,910","1,216",664,0,25,0,5,117,3081,2730,351,2175,359,153,136,104,102,45,292,191,218,130,77,111,289,100,121,46,59,27,8,89%,11%,3%,97%,91%,58%,32%,0%,1%,0%,0%,6%,17%,7%,7%,5%,5%,2%,14%,9%,10%,6%,4%,5%,14%,5%,6%,2%,3%,1%,0%
2607,"1,653",67,"1,586","1,517",896,597,0,10,1,13,69,2388,2097,291,1627,247,33,83,125,52,147,196,106,79,116,116,55,290,35,116,47,21,19,2,88%,12%,4%,96%,92%,54%,36%,0%,1%,0%,1%,4%,15%,2%,5%,8%,3%,9%,12%,6%,5%,7%,7%,3%,18%,2%,7%,3%,1%,1%,0%
2613,"2,767",56,"2,711","2,603",840,"1,732",3,16,0,12,108,3228,2982,246,3136,1148,485,199,330,205,192,198,425,159,151,202,116,97,80,162,38,50,49,19,92%,8%,2%,98%,94%,30%,63%,0%,1%,0%,0%,4%,37%,18%,7%,12%,7%,7%,7%,15%,6%,5%,7%,4%,4%,3%,6%,1%,2%,2%,1%
2614,"2,241",81,"2,160","2,075",566,"1,476",4,5,2,22,85,3618,2973,645,1924,629,19,120,139,133,144,35,154,111,18,133,182,222,192,164,95,47,28,59,82%,18%,4%,96%,93%,25%,66%,0%,0%,0%,1%,4%,33%,1%,5%,6%,6%,6%,2%,7%,5%,1%,6%,8%,10%,9%,7%,4%,2%,1%,3%
2615,"1,524",49,"1,475","1,408",469,907,5,11,0,16,67,2610,2121,489,1710,251,62,102,158,133,224,102,125,138,146,121,42,35,45,143,67,18,72,13,81%,19%,3%,97%,92%,31%,60%,0%,1%,0%,1%,4%,15%,4%,7%,10%,9%,15%,7%,8%,9%,10%,8%,3%,2%,3%,9%,4%,1%,5%,1%
2620,"2,400",65,"2,335","2,215","1,533",634,3,15,0,30,120,3783,3261,522,2608,828,225,108,300,94,170,306,121,309,60,39,86,143,265,161,194,35,72,81,86%,14%,3%,97%,92%,64%,26%,0%,1%,0%,1%,5%,32%,9%,5%,13%,4%,7%,13%,5%,13%,3%,2%,4%,6%,11%,7%,8%,1%,3%,3%
2701,"2,578",93,"2,485","2,362","1,701",596,3,37,0,25,123,3678,3360,318,2485,84,144,45,78,110,118,150,262,261,166,140,284,40,200,225,112,100,18,38,91%,9%,4%,96%,92%,66%,23%,0%,1%,0%,1%,5%,3%,6%,2%,3%,4%,5%,6%,10%,10%,6%,5%,11%,2%,8%,9%,4%,4%,1%,1%
2703,"1,906",59,"1,847","1,758","1,042",686,1,21,0,8,89,2973,2679,294,2108,469,217,58,92,80,76,203,347,187,65,72,92,212,140,90,155,20,5,5,90%,10%,3%,97%,92%,55%,36%,0%,1%,0%,0%,5%,22%,11%,3%,5%,4%,4%,11%,18%,10%,3%,4%,5%,11%,7%,5%,8%,1%,0%,0%
2708,"2,621",73,"2,548","2,440","1,889",502,5,28,0,16,108,3972,3738,234,2348,136,118,70,142,24,103,240,168,252,178,162,239,243,142,123,79,41,44,48,94%,6%,3%,97%,93%,72%,19%,0%,1%,0%,1%,4%,6%,5%,3%,5%,1%,4%,9%,6%,10%,7%,6%,9%,9%,5%,5%,3%,2%,2%,2%
