"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,003,405000,1161,+40.606774,-079.794685"
"42,003,406000,2210,+40.648846,-079.763451"
"42,003,407001,5586,+40.641390,-079.869242"
"42,003,407002,6676,+40.611585,-079.881920"
"42,003,408001,5633,+40.651295,-079.949207"
"42,003,408002,6309,+40.625351,-079.942240"
"42,003,409001,9192,+40.632376,-080.040422"
"42,003,409002,5499,+40.662055,-080.033646"
"42,003,410000,1183,+40.636837,-080.082749"
"42,003,411001,4004,+40.650654,-080.118454"
"42,003,411002,6076,+40.644145,-080.082609"
"42,003,412002,4865,+40.568147,-080.076945"
"42,003,412003,6312,+40.599418,-080.082837"
"42,003,412004,4302,+40.594477,-080.107845"
"42,003,413100,6998,+40.599706,-080.039261"
"42,003,413201,3826,+40.574094,-080.041884"
"42,003,413202,2860,+40.577857,-080.057242"
"42,003,413300,4876,+40.560136,-080.045002"
"42,003,413400,4517,+40.560153,-080.001995"
"42,003,413500,6621,+40.576350,-080.008677"
"42,003,414101,5499,+40.602188,-079.933327"
"42,003,414102,7044,+40.591564,-079.965599"
"42,003,414200,5936,+40.565046,-079.954485"
"42,003,415001,4650,+40.577679,-079.860347"
"42,003,415002,2604,+40.551285,-079.908494"
"42,003,416000,1540,+40.553265,-079.798223"
"42,003,417100,2166,+40.543809,-079.783704"
"42,003,417200,1234,+40.539732,-079.781506"
"42,003,418000,1672,+40.544034,-079.800741"
"42,003,419000,3133,+40.545386,-079.835358"
"42,003,420000,1454,+40.493776,-079.861542"
"42,003,421100,4969,+40.503353,-079.868640"
"42,003,421200,4315,+40.511577,-079.921584"
"42,003,422000,5343,+40.523107,-079.888481"
"42,003,423000,2916,+40.493449,-079.903287"
"42,003,424000,3187,+40.495367,-079.927567"
"42,003,425000,3437,+40.500137,-079.948981"
"42,003,426300,5982,+40.544816,-079.975725"
"42,003,426400,4435,+40.519903,-079.959421"
"42,003,426700,2303,+40.515554,-079.942481"
