"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030103022010","Block 2010, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022011","Block 2011, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","9","9","0",
"1000000US420030103022012","Block 2012, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","30","25","5",
"1000000US420030103022013","Block 2013, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","43","28","15",
"1000000US420030103022014","Block 2014, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","15","14","1",
"1000000US420030103022015","Block 2015, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","18","18","0",
"1000000US420030103022016","Block 2016, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","8","8","0",
"1000000US420030103022017","Block 2017, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","4","4","0",
"1000000US420030103022018","Block 2018, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","32","22","10",
"1000000US420030103022019","Block 2019, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","2","2","0",
"1000000US420030103022020","Block 2020, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","9","9","0",
"1000000US420030103022021","Block 2021, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","27","27","0",
"1000000US420030103022022","Block 2022, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","10","10","0",
"1000000US420030103022023","Block 2023, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","7","7","0",
"1000000US420030103022024","Block 2024, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022025","Block 2025, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030103022026","Block 2026, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022027","Block 2027, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022028","Block 2028, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","32","12","20",
"1000000US420030103022029","Block 2029, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","23","21","2",
"1000000US420030103022030","Block 2030, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","12","3","9",
"1000000US420030103022031","Block 2031, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","25","24","1",
"1000000US420030103022032","Block 2032, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030103022033","Block 2033, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022034","Block 2034, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022035","Block 2035, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","24","24","0",
"1000000US420030103022036","Block 2036, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","7","1","6",
"1000000US420030103022037","Block 2037, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022038","Block 2038, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103022039","Block 2039, Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001000","Block 1000, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001001","Block 1001, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001002","Block 1002, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001003","Block 1003, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001004","Block 1004, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001005","Block 1005, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","346","305","41",
"1000000US420030201001006","Block 1006, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","0","1",
"1000000US420030201001007","Block 1007, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001008","Block 1008, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","4","4","0",
"1000000US420030201001009","Block 1009, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","3","3","0",
"1000000US420030201001010","Block 1010, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","0","1",
"1000000US420030201001011","Block 1011, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001012","Block 1012, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001013","Block 1013, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001014","Block 1014, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001015","Block 1015, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001016","Block 1016, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001017","Block 1017, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001018","Block 1018, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","4","4","0",
"1000000US420030201001019","Block 1019, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","69","68","1",
"1000000US420030201001020","Block 1020, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001021","Block 1021, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001022","Block 1022, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","158","143","15",
"1000000US420030201001023","Block 1023, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","10","10","0",
